clade_name,NCBI_tax_id,Soil_2_S57_trimmed_merged_profile,Soil_1_S56_trimmed_merged_profile,Sample_75_S163_trimmed_merged_profile,Sample_72_S162_trimmed_merged_profile,Sample_68_S161_trimmed_merged_profile,Sample_63_S160_trimmed_merged_profile,Sample_62_S159_trimmed_merged_profile,Sample_56_S158_trimmed_merged_profile,Sample_55_S157_trimmed_merged_profile,Sample_48_S156_trimmed_merged_profile,Sample_46_S155_trimmed_merged_profile,Sample_45_S154_trimmed_merged_profile,Sample_37_S152_trimmed_merged_profile,Sample_29_S151_trimmed_merged_profile,Sample_15_S150_trimmed_merged_profile,Sample_11_S149_trimmed_merged_profile
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter,2|1239|186801|186802|186806|113286,0,0,4.74914,39.824,3.25732,5.64127,16.54317,1.6377,18.17545,9.14335,26.17974,0,8.84932,16.9622,12.48411,11.64591
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter|s__Pseudoramibacter_alactolyticus,2|1239|186801|186802|186806|113286|113287,0,0,4.74914,39.824,3.25732,5.64127,16.54317,1.6377,18.17545,9.14335,26.17974,0,8.84932,16.9622,12.48411,11.64591
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales,2|201174|1760|85009,0,0,0,0,4.36262,4.68454,5.39267,2.23374,4.64045,2.07393,0.45097,4.37564,2.60442,0,1.73348,1.60946
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae,2|201174|1760|85009|31957,0,0,0,0,4.36262,4.68454,5.39267,2.23374,4.64045,2.07393,0.45097,4.37564,2.60442,0,1.73348,1.60946
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_saphenum,2|1239|186801|186802|543314||51123,0,0,0,0,3.7271,3.67557,6.26937,0.45488,6.21813,14.41186,6.01792,9.94004,3.71078,14.78851,2.18554,19.49718
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium,2|201174|1760|85009|31957|1743,0,0,0,0,0,3.51747,0.40778,0.07623,0,0,0.25392,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens,2|201174|1760|85009|31957|1743|556499,0,0,0,0,0,3.51747,0.40778,0.07623,0,0,0.25392,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium,2|201174|1760|85009|31957|1912217,0,0,0,0,3.9327,1.16706,4.98489,2.15751,4.64045,2.07393,0.19705,4.37564,2.60442,0,1.73348,1.60946
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium|s__Pseudopropionibacterium_propionicum,2|201174|1760|85009|31957|1912217|1750,0,0,0,0,3.9327,1.16706,4.98489,2.15751,4.64045,2.07393,0.19705,4.37564,2.60442,0,1.73348,1.60946
k__Bacteria|p__Synergistetes,2|508458,0,0,0,0,2.87646,0.92335,3.52712,0.63416,1.83806,2.24193,7.09994,3.28505,2.6379,1.52587,1.29902,0.6581
k__Bacteria|p__Synergistetes|c__Synergistia,2|508458|649775,0,0,0,0,2.87646,0.92335,3.52712,0.63416,1.83806,2.24193,7.09994,3.28505,2.6379,1.52587,1.29902,0.6581
