"OTU","Clade","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU001","k__Bacteria","Bacteria",,,,,,
"OTU002","k__Archaea","Archaea",,,,,,
"OTU003","k__Archaea|p__Euryarchaeota","Archaea","Euryarchaeota",,,,,
"OTU004","k__Archaea|p__Euryarchaeota|c__Methanobacteria","Archaea","Euryarchaeota","Methanobacteria",,,,
"OTU005","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales",,,
"OTU006","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",,
"OTU007","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",
"OTU008","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","oralis"
"OTU009","k__Bacteria|p__Firmicutes","Bacteria","Firmicutes",,,,,
"OTU010","k__Bacteria|p__Firmicutes|c__Clostridia","Bacteria","Firmicutes","Clostridia",,,,
"OTU011","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales","Bacteria","Firmicutes","Clostridia","Clostridiales",,,
"OTU012","k__Bacteria|p__Chloroflexi","Bacteria","Chloroflexi",,,,,
"OTU013","k__Bacteria|p__Chloroflexi|c__Anaerolineae","Bacteria","Chloroflexi","Anaerolineae",,,,
"OTU014","k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales",,,
"OTU015","k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",,
"OTU016","k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae",
"OTU017","k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified|s__Anaerolineaceae_bacterium_oral_taxon_439","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae","bacterium_oral_taxon_439"
"OTU018","k__Bacteria|p__Actinobacteria","Bacteria","Actinobacteria",,,,,
"OTU019","k__Bacteria|p__Actinobacteria|c__Actinobacteria","Bacteria","Actinobacteria","Actinobacteria",,,,
"OTU020","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Family_XIII_Incertae_Sedis",,
"OTU021","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Family_XIII_Incertae_Sedis","Clostridiales_Family_XIII_Incertae_Sedis",
"OTU022","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",,,
"OTU023","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",,
"OTU024","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",
"OTU025","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_minutum","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Family_XIII_Incertae_Sedis","Clostridiales_Family_XIII_Incertae_Sedis","minutum"
"OTU026","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","sp_oral_taxon_414"
"OTU027","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","cardiffensis"
"OTU028","k__Bacteria|p__Proteobacteria","Bacteria","Proteobacteria",,,,,
"OTU029","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria","Bacteria","Proteobacteria","Deltaproteobacteria",,,,
"OTU030","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales",,,
"OTU031","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",,
"OTU032","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus",
"OTU033","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus","oralis"
"OTU034","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae",,
"OTU035","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter",
"OTU036","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter|s__Pseudoramibacter_alactolyticus","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter","alactolyticus"
"OTU037","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales",,,
"OTU038","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae",,
"OTU039","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_saphenum","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Family_XIII_Incertae_Sedis","Clostridiales_Family_XIII_Incertae_Sedis","saphenum"
"OTU040","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium",
"OTU041","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","acidifaciens"
"OTU042","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Pseudopropionibacterium",
"OTU043","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium|s__Pseudopropionibacterium_propionicum","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Pseudopropionibacterium","propionicum"
"OTU044","k__Bacteria|p__Synergistetes","Bacteria","Synergistetes",,,,,
"OTU045","k__Bacteria|p__Synergistetes|c__Synergistia","Bacteria","Synergistetes","Synergistia",,,,
"OTU046","k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales","Bacteria","Synergistetes","Synergistia","Synergistales",,,
"OTU047","k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",,
"OTU048","k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium",
"OTU049","k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium","fastidiosum"
"OTU050","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","oris"
"OTU051","k__Bacteria|p__Firmicutes|c__Bacilli","Bacteria","Firmicutes","Bacilli",,,,
"OTU052","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales","Bacteria","Firmicutes","Bacilli","Bacillales",,,
"OTU053","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified",,
"OTU054","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Gemella",
"OTU055","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_bergeri","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Gemella","bergeri"
"OTU056","k__Bacteria|p__Firmicutes|c__Erysipelotrichia","Bacteria","Firmicutes","Erysipelotrichia",,,,
"OTU057","k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",,,
"OTU058","k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",,
"OTU059","k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bulleidia",
"OTU060","k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__Bulleidia_extructa","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","extructa"
"OTU061","k__Bacteria|p__Actinobacteria|c__Coriobacteriia","Bacteria","Actinobacteria","Coriobacteriia",,,,
"OTU062","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",,,
"OTU063","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae",,
"OTU064","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",
"OTU065","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_uli","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","uli"
"OTU066","k__Archaea|p__Thaumarchaeota","Archaea","Thaumarchaeota",,,,,
"OTU067","k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified","Archaea","Thaumarchaeota","Thaumarchaeota_unclassified",,,,
"OTU068","k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified","Archaea","Thaumarchaeota","Thaumarchaeota_unclassified","Thaumarchaeota_unclassified",,,
"OTU069","k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified","Archaea","Thaumarchaeota","Thaumarchaeota_unclassified","Thaumarchaeota_unclassified","Thaumarchaeota_unclassified",,
"OTU070","k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified","Archaea","Thaumarchaeota","Thaumarchaeota_unclassified","Thaumarchaeota_unclassified","Thaumarchaeota_unclassified","Thaumarchaeota",
"OTU071","k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_archaeon_CSP1_1","Archaea","Thaumarchaeota","Thaumarchaeota_unclassified","Thaumarchaeota_unclassified","Thaumarchaeota_unclassified","Thaumarchaeota","archaeon_CSP1_1"
"OTU072","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"OTU073","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales",,,
"OTU074","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae",,
"OTU075","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfuricaulis","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfuricaulis",
"OTU076","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfuricaulis|s__Sulfuricaulis_limicola","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfuricaulis","limicola"
"OTU077","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria","Bacteria","Proteobacteria","Betaproteobacteria",,,,
"OTU078","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales",,,
"OTU079","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Thiobacillaceae",,
"OTU080","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Thiobacillaceae","Thiobacillus",
"OTU081","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus_denitrificans","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Thiobacillaceae","Thiobacillus","denitrificans"
"OTU082","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",,
"OTU083","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",
"OTU084","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_novyi","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","novyi"
"OTU085","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales",,,
"OTU086","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",,
"OTU087","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",
"OTU088","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_aurantiaca","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora","aurantiaca"
"OTU089","k__Bacteria|p__Nitrospirae","Bacteria","Nitrospirae",,,,,
"OTU090","k__Bacteria|p__Nitrospirae|c__Nitrospira","Bacteria","Nitrospirae","Nitrospira",,,,
"OTU091","k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales","Bacteria","Nitrospirae","Nitrospira","Nitrospirales",,,
"OTU092","k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae",,
"OTU093","k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",
"OTU094","k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_sp_CG24A","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","sp_CG24A"
"OTU102","k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria","Archaea","Thaumarchaeota","Nitrososphaeria",,,,
"OTU103","k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales",,,
"OTU104","k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",,
"OTU105","k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrosocosmicus",
"OTU106","k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus|s__Candidatus_Nitrosocosmicus_oleophilus","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrosocosmicus","Nitrosocosmicus_oleophilus"
"OTU113","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinobaculum",
"OTU114","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinobaculum","sp_oral_taxon_183"
"OTU115","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","georgiae"
"OTU116","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hongkongensis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","hongkongensis"
"OTU117","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","johnsonii"
"OTU118","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","massiliensis"
"OTU119","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_meyeri","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","meyeri"
"OTU120","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","naeslundii"
"OTU121","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","odontolyticus"
"OTU122","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","sp_oral_taxon_180"
"OTU123","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_897","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","sp_oral_taxon_897"
"OTU124","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales",,,
"OTU125","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",,
"OTU126","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",
"OTU127","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","dentium"
"OTU128","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales",,,
"OTU129","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae",,
"OTU130","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",
"OTU131","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","durum"
"OTU132","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","matruchotii"
"OTU133","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales","Bacteria","Actinobacteria","Actinobacteria","Micrococcales",,,
"OTU134","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",,
"OTU135","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",
"OTU136","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","aeria"
"OTU137","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","dentocariosa"
"OTU138","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",
"OTU139","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes"
"OTU140","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_profusa","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","profusa"
"OTU141","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales",,,
"OTU142","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae",,
